id,sender_id,receiver_id,amount,start_time
260,5056,4693,100217,260196
261,4507,1210,99517,261939
262,986,1119,99429,263033
263,3806,3141,99749,263413
264,5268,3533,101596,265109
265,2714,2637,99161,267408
266,2778,3748,100373,268784
267,2635,3019,98531,269223
268,5402,2351,100631,270007
269,400,5444,100599,270789
270,702,2591,99824,271777
271,4387,2011,99212,271959
272,4768,5277,99909,272721
273,4453,5368,101395,278792
274,910,4518,101127,279077
275,4676,4468,100325,280328
276,4579,2966,100344,280746
277,618,4932,99012,281222
278,5083,2744,100272,281728
279,3016,4788,98824,282394
280,1376,2456,100920,283667
281,73,3850,101627,284500
282,3259,4301,100586,284924
283,4965,1090,100950,285181
284,2407,2544,98193,288123
285,3693,921,100170,288272
286,3038,605,98564,288290
287,4360,5237,100686,288397
288,3394,5518,100986,290954
289,138,4247,99034,292429
290,3461,2248,99331,292980
291,464,4423,99896,293111
292,680,1416,99616,293244
293,5029,5530,100830,293617
294,3116,1365,101716,294126
295,2278,328,99186,294356
296,4821,4731,99233,294863
297,2489,3227,99778,295489
298,2083,2887,100340,296090
299,3525,1348,99949,298528
300,845,1490,100297,299217
301,994,2516,98970,300733
302,3487,1667,98747,300746
303,1277,3985,98676,304456
304,5772,2756,100187,304991
305,5168,512,100122,305194
306,3016,1799,98347,305263
307,2386,4504,98610,306871
308,5393,2098,99845,307082
309,3753,219,99476,308893
310,3392,3528,99829,310387
311,4288,2722,102136,311151
312,2647,2889,99923,311971
313,4596,932,100869,312049
314,5682,4524,98589,312364
315,5389,3867,97525,313977
316,152,5879,100258,315235
317,5207,3957,99621,316037
318,1333,1524,99315,317151
319,3036,118,99118,317565
320,4804,3420,100737,317837
321,4329,597,99388,322322
322,4337,3622,100326,324095
323,5781,2385,100159,324247
324,1231,2440,98987,326513
325,522,78,99291,327844
326,1248,5093,100179,328718
327,3861,2531,100620,331132
328,4909,3752,98723,331432
329,4955,2280,101162,331466
330,1609,4988,98500,331992
331,4647,3315,99077,333965
332,1768,1318,100746,334115
333,686,5216,99467,338339
334,5372,2829,99466,338892
335,2911,134,98248,340245
336,3253,4197,98759,340543
337,1309,836,101029,341090
338,5912,794,100935,341278
339,4151,1635,98972,342965
340,3462,2991,99726,343772
341,2433,3912,101290,345045
342,1239,640,99587,347347
343,1600,5248,100640,347635
344,3606,3802,99927,347827
345,3443,5491,99718,348345
346,2301,4630,97370,348393
347,2125,998,100200,349866
348,1473,409,101112,350206
349,2625,2136,100233,351484
350,1784,3666,100613,352130
351,2382,3986,100408,352791
352,1290,1621,100041,353095
353,973,3574,99987,356201
354,3584,928,101122,357674
355,2848,640,99406,358107
356,4373,2479,101888,359273
357,3593,2611,98387,359351
358,4919,467,99115,359798
359,1889,550,99475,360534
360,1111,520,100574,362597
361,4554,4397,101145,364020
362,3956,4348,101006,365911
363,5889,1499,99975,366951
364,1328,4163,100160,366991
365,265,4237,100734,374334
366,1084,3338,98982,376804
367,1879,203,100364,378117
368,1785,1156,99929,381004
369,4776,2848,100606,381060
370,5072,2733,100247,382825
371,3871,222,101095,383278
372,1381,3367,99947,383358
373,5315,4181,97919,383939
374,4352,2429,100116,384317
375,4828,3240,101448,385400
376,1914,4431,100369,387571
377,2563,3698,99673,388111
378,146,2774,99810,388863
379,2306,5640,99810,388901
380,2882,2881,101171,390969
381,1631,5910,101393,391065
382,2509,2020,100740,392402
383,4398,1434,97853,392754
384,1725,5122,101050,393020
385,3538,252,99910,393135
386,2308,2352,99227,393381
387,5744,5705,100604,393680
388,537,3534,100289,395792
389,5310,5674,99233,398132
390,3684,5941,100517,402861
391,390,1391,100609,404680
392,3901,1384,101145,405398
393,722,1385,98690,405435
394,1119,5749,100591,405865
395,4809,347,100316,406108
396,5308,3112,100160,411388
397,3153,1044,99360,412112
398,4553,2950,99845,412366
399,3741,1344,100245,412401
400,3561,5374,101076,412496
401,2747,5270,98526,412814
402,777,2862,99430,413878
403,5595,3308,99608,414208
404,2453,1517,100873,415493
405,292,2978,99168,418766
406,1322,657,100677,418845
407,5954,5112,99991,420989
408,2886,3099,100831,422730
409,3431,2088,101264,423514
410,3397,5192,100912,425622
411,3130,4789,100371,425903
412,5108,944,99011,427717
413,1433,4189,100204,427828
414,3715,4198,99269,428000
415,5295,5290,99521,430112
416,4959,30,100185,430520
417,1373,4465,101239,431933
418,3047,1553,99536,432892
419,1960,5893,102027,433015
420,1560,2262,101320,434528
421,771,642,100958,434546
422,3250,2596,98895,435547
423,1078,5597,99591,437101
424,5629,1043,101060,437171
425,5689,1807,100518,438644
426,404,4255,99188,439068
427,347,3729,101601,440110
428,781,3569,99380,440134
429,394,132,99464,440598
430,2934,4917,99247,441747
431,6,2678,99505,442379
432,5988,5671,99095,442979
433,5130,982,101441,444727
434,4166,1792,100552,444812
435,4641,4087,100684,444952
436,1641,5213,101639,447827
437,5462,2520,100372,451165
438,2387,4565,99567,455298
439,1873,2458,100690,456586
440,1381,4479,99375,456617
441,5213,3913,99135,457444
442,5191,2832,102570,460892
443,956,1114,100367,460987
444,4664,922,99739,462849
445,3185,4570,100028,464442
446,788,1766,98815,466034
447,2775,2892,99023,466968
448,4117,1486,101677,467191
449,1354,2952,100982,467585
450,1615,3545,99692,467956
451,5912,2734,99220,469096
452,2357,2375,100451,470012
453,4335,1751,101295,471426
454,5165,5721,100171,471466
455,4350,2885,99558,471623
456,1453,617,100037,471776
457,110,2996,102366,472012
458,4219,2078,101478,472021
459,5653,1960,100032,472785
460,527,5300,99347,472818
461,4952,471,98799,473206
462,797,5870,98636,474375
463,4163,4808,99510,474417
464,1005,4026,99110,475642
465,5382,189,100658,476600
466,312,3681,98151,477834
467,5616,5231,100077,478815
468,4815,4705,101109,480501
469,2909,481,100739,481306
470,3288,3588,100534,481908
471,2888,3865,100033,482087
472,4393,2634,100214,482149
473,3563,1484,99005,482801
474,5235,3698,99326,486525
475,2823,2023,99254,488579
476,4742,2604,99650,489268
477,971,3335,98803,489671
478,5983,3258,99993,490721
479,489,1198,101665,490970
480,433,2512,100690,491591
481,1046,5214,101542,493463
482,2555,3776,101269,493926
483,4610,5931,99421,494709
484,5207,3087,101791,495286
485,176,4355,99684,496217
486,5245,3589,100100,496764
487,3933,1662,100473,497208
488,1265,2305,99373,498206
489,5021,4403,99491,499702
490,4299,2434,100199,499900
491,3799,1426,100297,500618
492,1086,2480,97146,500901
493,584,5229,98770,501799
494,3091,3479,101388,502697
495,572,982,98845,503071
496,5822,2396,100633,504140
497,54,1953,101416,505053
498,786,2382,98450,505322
499,5307,441,98754,505723
500,3121,2695,101251,507488
501,875,2587,98397,508374
502,3706,5697,98983,508556
503,2157,1006,99596,509486
504,4422,2142,100419,510129
505,4695,5070,100918,510720
506,3515,5190,100168,510950
507,3242,672,100087,511212
508,5625,310,100113,511342
509,1349,2715,99736,511451
510,3046,3511,100071,511611
511,2386,5925,100533,512769
512,29,104,99873,513788
513,5844,5212,98720,514081
514,3096,3133,97857,515180
515,3196,838,99598,515334
516,4232,5644,100650,516453
517,975,5825,100888,516622
518,2665,1408,99445,517801
519,3973,5033,101485,517818
520,2986,1466,101119,519849
521,5192,3427,100642,522358
522,4063,3607,101016,522858
523,4005,3911,99077,523286
524,3951,956,99878,527065
525,5203,2443,100785,527159
526,3405,1733,99493,529266
527,3906,2427,99261,531865
528,4009,2631,100474,533463
529,1905,2616,100212,533934
530,721,1782,102070,533939
531,1972,1949,98578,534880
532,2379,3384,99078,535371
533,3294,2694,98568,536159
534,2241,2669,100148,537083
535,1011,4013,101277,538507
536,2783,3005,100777,540497
537,5714,3117,99927,542953
538,154,4887,99237,543431
539,894,2395,102531,543713
540,3204,2863,98469,545160
541,3299,4882,100855,546416
542,5738,3130,99695,546423
543,5385,3888,100582,546901
544,361,1184,99964,547334
545,1168,609,99946,548294
546,1542,3141,100961,548661
547,5583,4822,102334,549530
548,1869,538,101510,550789
549,2401,1637,99936,552521
550,732,3138,99826,553663
551,5161,1089,100119,553867
552,4258,1773,100165,554704
553,1112,1540,99417,554795
554,4840,4899,97879,554839
555,3162,3802,101106,555562
556,5310,3564,100692,555800
557,3883,3669,99668,556247
558,5044,5440,100210,556683
559,3343,1422,100819,557042
560,1650,4396,100320,557593
561,4032,4009,100613,557755
562,2713,2546,98876,557938
563,1412,4425,98505,558704
564,574,1071,98754,559638
565,1238,3283,98735,559934
566,2347,3795,99375,560620
567,851,5932,99328,561528
568,4175,4059,98741,562086
569,2677,4309,100943,562101
570,5953,2048,100189,562210
571,3622,4350,100875,564569
572,1646,4640,99812,564658
573,3875,5370,98736,565170
574,1942,2203,99324,565608
575,3706,416,100912,567390
576,406,4021,100663,568166
577,1628,5285,101735,569305
578,3200,1386,99519,569709
579,1143,4020,101520,570159
580,3350,5978,99608,570784
581,2003,361,101544,570876
582,5751,5775,100455,572047
583,4533,1206,100138,572573
584,580,2538,101294,573984
585,7,2087,101035,577959
586,4777,2852,99815,578226
587,719,2398,100267,579689
588,3242,1463,100463,580424
589,558,3745,99629,581974
590,4536,5193,100282,583723
591,3044,4696,100494,583788
592,217,706,98978,584093
593,2052,2162,99249,584518
594,5627,1435,100529,584882
595,4956,2384,99585,587736
596,3607,5245,98752,590254
597,4722,2984,100131,591090
598,5113,2348,100005,593757
599,2385,698,101326,594745
600,2286,4049,100089,596770
601,4332,4840,100356,597008
602,1829,4917,99760,597523
603,137,1042,100470,597776
604,2078,5749,100059,598800
605,5601,4939,98949,599452
606,5177,1884,100180,600119
607,836,3641,100233,601887
608,1050,1907,100629,602395
609,4956,879,98847,602524
610,409,2872,100005,602669
611,1396,5784,100095,604168
612,5800,732,101965,604541
613,5624,3039,99834,604866
614,634,5113,101399,605916
615,2190,913,99392,606747
616,4689,1151,98542,606806
617,2910,5975,101508,607158
618,5907,2584,99345,607311
619,448,729,99302,607619
620,606,1067,101103,607683
621,3712,3059,100654,607947
622,3695,1326,99096,608924
623,3938,3165,99757,610212
624,785,4757,99771,610809
625,3928,1168,98702,611554
626,2487,2892,99594,612876
627,2324,4620,99495,613019
628,2890,2513,100532,614447
629,4089,823,100155,615411
630,1292,1942,100661,619135
631,1194,4814,99984,619599
632,659,1596,102063,620204
633,2999,5071,99534,620365
634,2932,763,98861,621701
635,3914,2858,99529,622653
636,2369,5162,97731,624190
637,5743,5357,100161,625264
638,1894,5662,100972,625839
639,458,1529,100766,628502
640,230,1519,100159,629120
641,4955,3827,102137,629608
642,5376,2703,98743,630559
643,5341,400,101047,632699
644,901,634,97130,633839
645,287,250,100857,634914
646,432,4817,100011,636251
647,2327,2121,98153,641029
648,2100,5830,101135,641233
649,2131,1045,99135,642030
650,3965,4988,99484,642051
651,496,493,100513,644342
652,1774,4699,99265,645321
653,5861,2293,98914,645331
654,729,1534,98565,646821
655,415,3867,100037,647471
656,251,5380,99678,647817
657,2848,5885,100242,648482
658,3498,5527,100139,650152
659,3702,3942,99879,650269
660,5574,3594,99761,650734
661,2258,2595,97903,651226
662,3681,983,99935,651501
663,5575,729,98967,652186
664,5326,76,100968,653878
665,1903,5173,100316,654663
666,1514,3820,99219,655280
667,5876,5057,100849,656096
668,4663,1084,99552,656291
669,1922,3273,100186,657066
670,259,4372,100394,658360
671,551,4911,101720,658523
672,5049,2056,99416,659304
673,4553,3545,100058,660250
674,1787,636,98846,661417
675,563,5245,101875,663513
676,4571,2605,99715,664132
677,3351,56,99409,665485
678,4363,5293,100953,667094
679,3949,1225,100540,668450
680,4402,4895,101489,668658
681,4131,2134,101265,669431
682,3328,3148,100622,669466
683,5001,4478,99329,670600
684,1963,4542,100197,670964
685,2824,5265,100171,671097
686,2212,2314,102052,672377
687,4687,5322,100450,672525
688,2351,3982,99089,672528
689,174,3721,99549,672728
690,4769,2328,99803,673615
691,5250,2888,102233,674900
692,389,625,98564,675724
693,4221,3367,100131,676390
694,4062,3599,100421,676704
695,137,4955,99980,677715
696,462,894,100151,678121
697,4480,4714,100631,679864
698,3106,3124,97959,680023
699,734,1971,99543,680292
700,532,2230,101283,681622
701,4604,5996,100222,681977
702,3859,1041,101860,682988
703,2979,4718,99938,684146
704,2461,5952,100490,684630
705,4444,3434,100112,684856
706,1107,3396,100084,685263
707,992,157,101190,686146
708,1640,4190,100776,686500
709,4700,5649,99775,686755
710,5241,2263,99864,686960
711,2888,4820,98517,689730
712,2900,4240,100337,689814
713,299,4372,99991,692215
714,2623,4685,99543,693157
715,788,812,101452,695716
716,3945,2835,99831,695774
717,267,1694,99063,696096
718,5442,4727,99209,697520
719,2575,2701,100439,697832
720,392,939,101177,697866
721,279,376,100780,698691
722,836,2077,98049,699220
723,4635,2086,100865,700014
724,5786,768,101000,702775
725,2363,313,99698,704324
726,1562,3750,99957,708303
727,5883,1540,100403,709594
728,1189,1148,98097,710217
729,1854,5837,100136,713639
730,2099,1099,100468,713894
731,2510,1507,100615,714681
732,3143,5888,99722,716648
733,2426,4341,99253,718216
734,4251,3296,102222,718301
735,1358,2752,99946,718860
736,995,846,100156,720756
737,1297,4018,99913,722736
738,2473,2763,101256,723524
739,1745,374,100064,723642
740,4843,2137,100404,723695
741,4768,4722,98564,724110
742,1553,5238,100165,724510
743,4555,4545,100124,724528
744,1230,758,100346,726644
745,970,5228,99155,729574
746,2710,3364,100319,729601
747,3318,391,99919,730022
748,5460,1696,97720,730710
749,4794,633,101472,731310
750,4937,2386,99219,732804
751,2649,5792,99436,733010
752,3143,564,99087,734584
753,4549,3469,100831,734958
754,4792,3859,98742,737424
755,5387,3201,98772,738017
756,4179,3350,99484,738397
757,3684,5148,100743,740671
758,1663,1014,100005,740822
759,3592,1213,100805,742141
760,3929,4927,99540,742721
761,4796,3695,100191,744067
762,3034,1919,99531,748209
763,735,4011,100824,748599
764,996,5988,101873,748776
765,779,75,100589,748873
766,3167,176,100822,751082
767,1259,476,101428,754711
768,1125,2023,99565,756420
769,5514,3248,100332,757845
770,1887,5934,100929,759568
771,3913,2758,98941,759861
772,2968,4920,100319,760051
773,1467,4276,99050,760595
774,852,5437,101270,761193
775,1148,4497,101575,761764
776,3729,3466,101293,763605
777,4842,2830,100728,763636
778,758,4440,99298,764029
779,1891,4122,99052,764211
780,5139,3935,99615,765240
781,2044,4169,100038,765482
782,1833,2164,99224,766540
783,4560,5635,100749,768187
784,4735,354,100708,768488
785,3908,5448,100366,768488
786,3366,1015,99748,769080
787,2279,2764,100487,769560
788,3283,773,98699,773323
789,4818,664,97388,773341
790,252,2531,99344,775295
791,4250,1755,100536,776496
792,4834,5041,100106,777793
793,3358,1830,101097,778553
794,1690,3814,99857,778672
795,1311,4226,100110,778742
796,579,1581,100034,779374
797,1704,1809,100361,779451
798,1785,1359,101061,780810
799,3596,289,100355,781211
800,3562,2044,100463,781293
801,3191,1438,100433,781628
802,208,2577,98415,787017
803,4739,5139,100769,788092
804,382,1515,99513,789005
805,2933,690,99574,789749
806,5463,196,100831,791516
807,388,5279,100088,791541
808,3107,4170,99196,791922
809,5469,2610,101528,792069
810,3615,2046,98749,793003
811,5694,3791,102133,794557
812,4220,3841,100754,795275
813,790,625,99411,796820
814,2928,5830,98725,799826
815,1631,3607,101678,803951
816,3040,1615,98793,804024
817,5354,1527,99966,804950
818,274,5449,99598,805274
819,2820,5835,98037,805914
820,2895,3738,99860,806857
821,2687,1685,98548,807750
822,3102,3225,100566,807787
823,5068,648,99055,808408
824,4820,2633,98572,809126
825,2383,1762,99289,810822
826,523,1709,101169,810942
827,3192,2073,100020,811797
828,5250,178,102044,813008
829,269,5962,98921,815659
830,1650,992,98425,816206
831,4383,2468,101212,816504
832,3651,4051,98884,818240
833,4314,5736,100354,818242
834,307,4309,100721,818303
835,243,3626,100385,818599
836,687,3995,101237,819208
837,3979,2216,98487,820005
838,4511,5407,99843,820088
839,1928,2130,101747,821126
840,4076,3882,100829,822026
841,3595,60,102281,822175
842,5485,695,98926,824244
843,1032,4348,99130,825594
844,5420,3183,100246,825747
845,4925,70,99307,826507
846,1772,2695,99141,827367
847,2398,262,100255,827610
848,2061,2802,100803,828666
849,404,5078,101551,830575
850,2582,2425,99441,830897
851,3258,1839,100346,831789
852,2681,1359,99516,833517
853,2703,5150,100797,834941
854,2588,593,100705,835813
855,73,2229,101294,835840
856,4237,2360,100266,836309
857,3073,1002,99748,837346
858,856,268,100277,837770
859,5685,927,102198,838246
860,3825,40,98873,838320
861,4755,2460,98347,838426
862,4066,5087,100693,838879
863,5055,1308,100205,839699
864,2726,632,99097,839850
865,5837,2916,100004,840609
866,5789,815,99181,840648
867,1254,185,99818,841182
868,961,2374,99401,841795
869,2930,1737,100444,842264
870,1885,2846,99859,843187
871,5975,4965,100333,843279
872,1732,3644,99626,843765
873,5830,2044,100230,847682
874,925,2870,101483,848462
875,1011,4575,100670,850285
876,2645,2139,100888,850585
877,4258,1168,97854,851716
878,1623,1411,101701,852142
879,992,3486,98931,860300
880,2666,904,101149,860971
881,1245,2413,100570,861328
882,3744,1956,101387,862297
883,2771,1209,99318,862457
884,236,5120,101838,863240
885,5447,1367,100814,864154
886,4337,2122,97667,866193
887,228,784,100797,866990
888,749,346,100636,867312
889,2803,5267,99946,868031
890,5891,562,101636,870022
891,2954,3535,99068,870698
892,1716,3137,100292,872132
893,2649,2321,100263,874642
894,2956,2175,101627,876648
895,5372,5890,97726,877234
896,4970,3616,100497,878086
897,4844,5742,98577,883638
898,656,357,101997,885515
899,1792,5363,100712,885810
900,2692,184,100483,886795
901,1325,5563,99859,889443
902,4130,183,100647,890622
903,3166,807,98572,891656
904,2154,4923,99419,891982
905,4402,1265,100588,893558
906,53,5949,99171,895354
907,3801,4447,100508,897010
908,4601,5311,100474,897960
909,627,532,99692,899244
910,466,1683,101675,899766
911,147,396,98963,900562
912,666,3796,100326,903512
913,4190,434,100053,905544
914,1799,4094,101232,907126
915,1454,4246,99353,907282
916,437,4264,101686,907631
917,1267,1395,99581,908144
918,4825,1756,98467,910509
919,132,1930,99278,912355
920,1357,3297,98779,916217
921,202,3624,99401,916755
922,3890,4562,99814,918950
923,4323,3021,99850,919555
924,3518,4933,100915,919629
925,3826,4099,98388,920251
926,4288,1409,99448,921880
927,1741,3318,100862,922007
928,858,5506,100738,922323
929,2411,2983,99506,924460
930,803,4947,101409,924515
931,1630,4496,98343,924623
932,0,1135,101506,924670
933,4294,1658,101619,926930
934,376,3503,99880,926933
935,2044,1482,99755,929605
936,611,4965,99094,929920
937,3393,5061,99599,930768
938,4738,5448,98081,933175
939,5623,5790,99381,933298
940,4126,254,102844,933788
941,5586,3800,100481,934914
942,26,835,99483,936162
943,5258,4002,100938,936300
944,5710,4060,100283,936653
945,1615,632,101503,937659
946,3868,6002,99976,940800
947,2313,3005,99803,941446
948,2748,666,100558,941905
949,4629,2221,100397,942110
950,2501,3315,99677,944009
951,4322,1273,101467,946047
952,2836,4387,100326,946290
953,4782,4070,100602,946326
954,1773,2370,99143,947667
955,4427,1895,100050,947720
956,2373,4097,99729,947942
957,3478,5346,99757,947985
958,2208,4005,100237,948710
959,3266,1607,99363,951129
960,2026,5034,99568,951807
961,4421,2428,100369,954172
962,3574,1601,101046,957482
963,250,3117,101636,958918
964,1873,2732,99256,960400
965,1320,3130,99703,960479
966,4625,2297,99498,960607
967,1091,1595,99674,961010
968,1761,2052,100745,961739
969,1340,2090,98685,962584
970,8,3411,101026,963623
971,3293,5851,100931,965393
972,4703,3640,99285,966005
973,1243,2390,99533,968302
974,394,4265,100586,968963
975,2843,4489,99957,970076
976,347,3496,100159,974823
977,3909,3270,100335,975646
978,454,4666,98801,975901
979,4358,1176,98999,978165
980,3738,5088,99309,979028
981,1659,882,102220,981396
982,2331,984,101132,981696
983,4864,2073,98742,982986
984,2822,3236,101023,983050
985,4144,884,102314,983311
986,2688,267,99759,986479
987,1813,3181,99218,986916
988,3006,5700,100167,986995
989,3729,1649,99755,987786
990,3282,1082,98574,987830
991,3368,995,99836,988486
992,1256,5391,100135,990341
993,822,5893,101167,990838
994,1453,3958,100524,993862
995,2992,5974,101606,996920
996,5892,3138,98564,997220
997,2756,2624,100169,997413
998,438,1285,100461,998986
999,4397,5452,100498,1000184
1000,5766,2373,100624,1003969
1001,5808,4548,98883,1005894
1002,2864,4643,99029,1006178
1003,1393,3847,102005,1007698
1004,977,5766,101517,1009174
1005,5136,2996,99898,1010978
1006,54,4711,98712,1013584
1007,3315,1373,100514,1013631
1008,1333,4853,99032,1015515
1009,3091,4377,99545,1015797
1010,175,2419,100969,1016882
1011,2,711,99709,1017049
1012,2389,5946,99997,1017094
1013,3079,4570,97699,1018103
1014,2357,544,99924,1018963
1015,1654,2144,101262,1023848
1016,1507,2320,101929,1024292
1017,2496,3943,99547,1026617
1018,1150,5269,101242,1026866
1019,4515,233,98832,1027120
